
2025/02/01 (18:28:30) | ===> btop++ v.1.4.0
2025/02/01 (18:28:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/01 (18:28:31) | ===> btop++ v.1.4.0
2025/02/01 (18:28:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/01 (18:28:58) | ===> btop++ v.1.4.0
2025/02/01 (18:28:58) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/01 (22:27:38) | ===> btop++ v.1.4.0
2025/02/01 (22:27:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/02 (18:30:00) | ===> btop++ v.1.4.0
2025/02/02 (18:30:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/03 (16:02:29) | ===> btop++ v.1.4.0
2025/02/03 (16:02:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/03 (16:09:35) | ===> btop++ v.1.4.0
2025/02/03 (16:09:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/03 (16:33:08) | ===> btop++ v.1.4.0
2025/02/03 (16:33:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/03 (16:45:45) | ===> btop++ v.1.4.0
2025/02/03 (16:45:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/04 (13:27:34) | ===> btop++ v.1.4.0
2025/02/04 (13:27:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/04 (13:44:26) | ===> btop++ v.1.4.0
2025/02/04 (13:44:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/04 (13:49:19) | ===> btop++ v.1.4.0
2025/02/04 (13:49:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/06 (20:47:36) | ===> btop++ v.1.4.0
2025/02/06 (20:47:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/07 (16:09:36) | ===> btop++ v.1.4.0
2025/02/07 (16:09:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/07 (22:06:52) | ===> btop++ v.1.4.0
2025/02/07 (22:06:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/11 (19:02:07) | ===> btop++ v.1.4.0
2025/02/11 (19:02:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/13 (23:29:01) | ===> btop++ v.1.4.0
2025/02/13 (23:29:01) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/13 (23:58:57) | ===> btop++ v.1.4.0
2025/02/13 (23:58:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/15 (01:03:37) | ===> btop++ v.1.4.0
2025/02/15 (01:03:37) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/15 (01:04:12) | ===> btop++ v.1.4.0
2025/02/15 (01:04:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/15 (01:16:35) | ===> btop++ v.1.4.0
2025/02/15 (01:16:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/15 (16:22:33) | ===> btop++ v.1.4.0
2025/02/15 (16:22:33) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/25 (13:33:14) | ===> btop++ v.1.4.0
2025/02/25 (13:33:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/03 (19:39:40) | ===> btop++ v.1.4.0
2025/03/03 (19:39:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/03 (20:15:21) | ===> btop++ v.1.4.0
2025/03/03 (20:15:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/03 (21:05:26) | ===> btop++ v.1.4.0
2025/03/03 (21:05:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/03 (23:17:09) | ===> btop++ v.1.4.0
2025/03/03 (23:17:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/04 (00:02:28) | ===> btop++ v.1.4.0
2025/03/04 (00:02:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/05 (23:49:20) | ===> btop++ v.1.4.0
2025/03/05 (23:49:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/05 (23:49:27) | ===> btop++ v.1.4.0
2025/03/05 (23:49:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/05 (23:53:28) | ===> btop++ v.1.4.0
2025/03/05 (23:53:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/05 (23:54:54) | ===> btop++ v.1.4.0
2025/03/05 (23:54:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/06 (10:54:46) | ===> btop++ v.1.4.0
2025/03/06 (10:54:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/06 (11:11:43) | ===> btop++ v.1.4.0
2025/03/06 (11:11:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/06 (14:11:39) | ===> btop++ v.1.4.0
2025/03/06 (14:11:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

